isUserInteracting,function,Unclustered,3,331
"(function () { // ── Constants ──────────────────────────────────── const DAMPING = 0.7; const MAX_VELOCITY = 8; const MASS_GROWTH = 0.02; const MAX_MASS = 5.0; const INITIAL_MASS = 0.3; const REPULSION_K = 800; const REPULSION_MAX_DIST = 200; const ATTRACT_K = 0.015; const ATTRACT_REST = 20; const CLUSTER_PULL = 0.004; const CENTER_GRAVITY = 0.0005; const COLLISION_PAD = 6; const EDGE_TYPE_MULT = { calls: 3.0, calledBy: 3.0, shared: 1.5, sharedWrites: 2.0, importance: 1.0, uses: 1.0, writesTo: 1.5, }; const SETTLED_KE = 0.3; const SETTLED_FRAMES_NEEDED = 90; // ── State ──────────────────────────────────────── let running = false; let rafId = null; let lastTime = 0; let streamEnded = false; let onSettled = null; let settledFrames = 0; let hullFrameCounter = 0; const HULL_EVERY_N_FRAMES = 4; // ── Cluster centroids (maintained incrementally) ── let clusterCentroids = new Map(); // clusterName → { sx, sy, count } function rebuildCentroids() { clusterCentroids.clear(); if (!currentNodes) return; for (const n of currentNodes) { const name = n.clusterName; if (!name) continue; if (!clusterCentroids.has(name)) clusterCentroids.set(name, { sx: 0, sy: 0, count: 0 }); const c = clusterCentroids.get(name); c.sx += n.x || 0; c.sy += n.y || 0; c.count++; } } // ── Placement logic for new streaming nodes ────── function placeNewNode(node) { let px = 0, py = 0; let placed = false; // Try near connected neighbors if (currentGraph && currentGraph.adjacency) { const nbrs = currentGraph.adjacency.get(node.id); if (nbrs && nbrs.size > 0) { let sx = 0, sy = 0, cnt = 0; for (const nid of nbrs) { const n = currentGraph.nodeMap.get(nid); if (n && n.x != null) { sx += n.x; sy += n.y; cnt++; } } if (cnt > 0) { px = sx / cnt; py = sy / cnt; placed = true; } } } // Try near cluster centroid if (!placed && node.clusterName && clusterCentroids.has(node.clusterName)) { const c = clusterCentroids.get(node.clusterName); if (c.count > 0) { px = c.sx / c.count; py = c.sy / c.count; placed = true; } } // Jitter const angle = Math.random() * Math.PI * 2; const jitter = 15 + Math.random() * 25; node.x = px + Math.cos(angle) * jitter; node.y = py + Math.sin(angle) * jitter; node.vx = 0; node.vy = 0; node.mass = INITIAL_MASS; } // ── Force tick ─────────────────────────────────── function tick(now) { if (!running) return; rafId = requestAnimationFrame(tick); const rawDt = (now - lastTime) / 16.67; const dt = Math.min(rawDt, 2.0); lastTime = now; if (!currentNodes || currentNodes.length === 0) return; const nodes = currentNodes; const n = nodes.length; // Skip physics for nodes being dragged or locked const isDragged = new Set(); if (forcePressDragNode) isDragged.add(forcePressDragNode.id); // Grow mass (inertia) for (let i = 0; i < n; i++) { const nd = nodes[i]; if (nd.mass == null) nd.mass = INITIAL_MASS; nd.mass = Math.min(MAX_MASS, nd.mass + MASS_GROWTH * dt); } // Adaptive scaling const nScale = 1 / Math.max(1, Math.sqrt(n / 20)); // ── 1. Repulsion ──────────────────────────────── for (let i = 0; i < n; i++) { const a = nodes[i]; if (isDragged.has(a.id) || lockedNodes.has(a.id)) continue; const ax = a.x, ay = a.y; const am = a.mass || 1; for (let j = i + 1; j < n; j++) { const b = nodes[j]; const dx = b.x - ax; const dy = b.y - ay; const distSq = dx * dx + dy * dy; if (distSq > REPULSION_MAX_DIST * REPULSION_MAX_DIST) continue; const dist = Math.sqrt(distSq) || 0.01; const F = REPULSION_K * nScale / (distSq + 10); const fx = (dx / dist) * F * dt; const fy = (dy / dist) * F * dt; const bm = b.mass || 1; if (!isDragged.has(a.id) && !lockedNodes.has(a.id)) { a.vx = (a.vx || 0) - fx / am; a.vy = (a.vy || 0) - fy / am; } if (!isDragged.has(b.id) && !lockedNodes.has(b.id)) { b.vx = (b.vx || 0) + fx / bm; b.vy = (b.vy || 0) + fy / bm; } } } // ── 2. Edge attraction ────────────────────────── if (currentLinks) { for (const e of currentLinks) { const a = currentGraph.nodeMap.get(e.source); const b = currentGraph.nodeMap.get(e.target); if (!a || !b) continue; const dx = b.x - a.x; const dy = b.y - a.y; const dist = Math.sqrt(dx * dx + dy * dy) || 0.01; const rest = (a.radius || 4) + (b.radius || 4) + ATTRACT_REST; const displacement = dist - rest; const typeMult = EDGE_TYPE_MULT[e.type] || 1; const w = Math.min(3, (e.weight || 1) * typeMult); const F = ATTRACT_K * w * displacement * dt; const fx = (dx / dist) * F; const fy = (dy / dist) * F; const am = a.mass || 1; const bm = b.mass || 1; if (!isDragged.has(a.id) && !lockedNodes.has(a.id)) { a.vx = (a.vx || 0) + fx / am; a.vy = (a.vy || 0) + fy / am; } if (!isDragged.has(b.id) && !lockedNodes.has(b.id)) { b.vx = (b.vx || 0) - fx / bm; b.vy = (b.vy || 0) - fy / bm; } } } // ── 3. Cluster drift ──────────────────────────── for (let i = 0; i < n; i++) { const nd = nodes[i]; if (isDragged.has(nd.id) || lockedNodes.has(nd.id)) continue; const name = nd.clusterName; if (!name) continue; const c = clusterCentroids.get(name); if (!c || c.count <= 1) continue; const cx = c.sx / c.count; const cy = c.sy / c.count; const dx = cx - nd.x; const dy = cy - nd.y; const m = nd.mass || 1; nd.vx = (nd.vx || 0) + (dx * CLUSTER_PULL * dt) / m; nd.vy = (nd.vy || 0) + (dy * CLUSTER_PULL * dt) / m; } // ── 4. Center gravity ─────────────────────────── for (let i = 0; i < n; i++) { const nd = nodes[i]; if (isDragged.has(nd.id) || lockedNodes.has(nd.id)) continue; nd.vx = (nd.vx || 0) - nd.x * CENTER_GRAVITY * dt; nd.vy = (nd.vy || 0) - nd.y * CENTER_GRAVITY * dt; } // ── 5. Damping + velocity integration ─────────── let totalKE = 0; for (let i = 0; i < n; i++) { const nd = nodes[i]; if (isDragged.has(nd.id) || lockedNodes.has(nd.id)) continue; nd.vx = (nd.vx || 0) * DAMPING; nd.vy = (nd.vy || 0) * DAMPING; const speed = Math.sqrt(nd.vx * nd.vx + nd.vy * nd.vy); if (speed > MAX_VELOCITY) { nd.vx = (nd.vx / speed) * MAX_VELOCITY; nd.vy = (nd.vy / speed) * MAX_VELOCITY; } nd.x += nd.vx * dt; nd.y += nd.vy * dt; totalKE += nd.vx * nd.vx + nd.vy * nd.vy; } // ── 6. Hard collision ─────────────────────────── for (let i = 0; i < n; i++) { const a = nodes[i]; for (let j = i + 1; j < n; j++) { const b = nodes[j]; const dx = b.x - a.x; const dy = b.y - a.y; const dist = Math.sqrt(dx * dx + dy * dy) || 0.01; const minDist = (a.radius || 4) + (b.radius || 4) + COLLISION_PAD; if (dist >= minDist) continue; const overlap = minDist - dist; const nx = dx / dist, ny = dy / dist; const am = a.mass || 1, bm = b.mass || 1; const totalM = am + bm; const aFixed = isDragged.has(a.id) || lockedNodes.has(a.id); const bFixed = isDragged.has(b.id) || lockedNodes.has(b.id); if (!aFixed && !bFixed) { a.x -= nx * overlap * (bm / totalM); a.y -= ny * overlap * (bm / totalM); b.x += nx * overlap * (am / totalM); b.y += ny * overlap * (am / totalM); } else if (!aFixed) { a.x -= nx * overlap; a.y -= ny * overlap; } else if (!bFixed) { b.x += nx * overlap; b.y += ny * overlap; } // Kill approach velocity const dvx = (b.vx || 0) - (a.vx || 0); const dvy = (b.vy || 0) - (a.vy || 0); const approach = dvx * nx + dvy * ny; if (approach < 0) { if (!aFixed) { a.vx = (a.vx || 0) + nx * approach * (bm / totalM); a.vy = (a.vy || 0) + ny * approach * (bm / totalM); } if (!bFixed) { b.vx = (b.vx || 0) - nx * approach * (am / totalM); b.vy = (b.vy || 0) - ny * approach * (am / totalM); } } } } // ── 7. Rebuild centroids ──────────────────────── rebuildCentroids(); // ── 8. Render using main graph's renderer ─────── renderPositions(); // Hulls + cluster labels (throttled during physics) hullFrameCounter++; if (hullFrameCounter >= HULL_EVERY_N_FRAMES) { hullFrameCounter = 0; renderHulls(); renderClusterLabels(); } // ── 9. Settle detection ───────────────────────── if (streamEnded) { if (totalKE < SETTLED_KE * n) { settledFrames++; if (settledFrames >= SETTLED_FRAMES_NEEDED) { settledFrames = 0; streamEnded = false; stop(); if (onSettled) { const cb = onSettled; onSettled = null; cb(); } } } else { settledFrames = 0; } } } // ── Public API ─────────────────────────────────── function start() { if (running) return; running = true; lastTime = performance.now(); hullFrameCounter = 0; rebuildCentroids(); rafId = requestAnimationFrame(tick); } function stop() { running = false; if (rafId) { cancelAnimationFrame(rafId); rafId = null; } } function endStream(callback) { streamEnded = true; settledFrames = 0; onSettled = callback; } function isRunning() { return running; } return { start, stop, endStream, isRunning, placeNewNode, rebuildCentroids }; })()",expression,,1,2006
"d3.drag() .on('start', (e, d) => { d._dragStart = { x: d.x, y: d.y }; d._dragStartTime = Date.now(); d._isDragging = true; forcePressDragNode = d; if (currentK > 3.5 && currentNodes) { let maxR = 0; for (const n of currentNodes) if ((n.radius || 4) > maxR) maxR = n.radius || 4; _buildCollisionGrid(currentNodes, maxR); } if (spacePullRAF && selectedNodes.has(d.id)) { cancelAnimationFrame(spacePullRAF); spacePullRAF = null; } if (!hasForceTouch && !hasPressure && e.sourceEvent && e.sourceEvent.shiftKey) { if (shiftAttractorTimer) clearTimeout(shiftAttractorTimer); shiftAttractorTimer = setTimeout(() => { shiftAttractorTimer = null; if (d._isDragging && !attractorNode && !groupMoveActive) { startAttractor(d); } }, 550); } }) .on('drag', (e, d) => { if (xKeyRAF) return; if (e.sourceEvent && e.sourceEvent.shiftKey && selectedNodes.has(d.id) && selectedNodes.size >= 2) { if (!groupMoveActive) { groupMoveActive = true; if (shiftAttractorTimer) { clearTimeout(shiftAttractorTimer); shiftAttractorTimer = null; } if (attractorNode) lockAttractor(); } const dx = e.x - d.x, dy = e.y - d.y; for (const n of currentNodes) { if (!selectedNodes.has(n.id)) continue; n.x += dx; n.y += dy; } } else if (e.sourceEvent && e.sourceEvent.shiftKey) { return; } else { d.x = e.x; d.y = e.y; if (currentK > 3.5) { const dr = d.radius || 4; const nearby = _nearbyNodes(d.x, d.y, dr + 30); for (let i = 0; i < nearby.length; i++) { const n = nearby[i]; if (n.id === d.id) continue; if (softCollide(n, d.x, d.y, dr, 4)) { springDisplace(n); } } } } renderPositions(); }) .on('end', (e, d) => { d._isDragging = false; forcePressDragNode = null; groupMoveActive = false; if (shiftAttractorTimer) { clearTimeout(shiftAttractorTimer); shiftAttractorTimer = null; } if (xKeyHeld) stopXForces(); const dx = d.x - d._dragStart.x, dy = d.y - d._dragStart.y; const moved = Math.sqrt(dx * dx + dy * dy) > 5; if (moved) { if (e.sourceEvent && e.sourceEvent.shiftKey && selectedNodes.has(d.id) && selectedNodes.size >= 2) { for (const n of currentNodes) { if (!selectedNodes.has(n.id)) continue; stickyNodes.add(n.id); savedPositions.set(n.id, { x: n.x, y: n.y }); } } else { stickyNodes.add(d.id); savedPositions.set(d.id, { x: d.x, y: d.y }); } trackDragProximity(d.id); pushArrangement('drag', [d.id]); } if (attractorNode) lockAttractor(); })",expression,,1,2530
springDisplace:n,parameter,,1,352
softCollide:n,parameter,,1,362
softCollide:cx,parameter,,1,362
softCollide:cy,parameter,,1,362
softCollide:cr,parameter,,1,362
softCollide:padding,parameter,,1,362
_buildCollisionGrid:nodes,parameter,,1,403
_buildCollisionGrid:maxRadius,parameter,,1,403
_nearbyNodes:cx,parameter,,1,418
_nearbyNodes:cy,parameter,,1,418
_nearbyNodes:radius,parameter,,1,418
createUserCluster:nodeIds,parameter,,1,447
deleteUserCluster:sectionName,parameter,,1,482
pushArrangement:trigger,parameter,,1,557
pushArrangement:focalNodes,parameter,,1,557
generateArrangementLabel:focal,parameter,,1,590
generateArrangementLabel:trigger,parameter,,1,590
navigateArrangement:delta,parameter,,1,598
enterComparisonMode:idxA,parameter,,1,631
enterComparisonMode:idxB,parameter,,1,631
computeComparisonPositions:arrA,parameter,,1,648
computeComparisonPositions:arrB,parameter,,1,648
trackClickCoOccurrence:nodeId,parameter,,1,673
trackDragProximity:draggedId,parameter,,1,692
navigateToArrangement:targetIdx,parameter,,1,723
hashStr:s,parameter,,1,741
parseCodemap:md,parameter,,1,750
extractJS:html,parameter,,1,792
analyzeCode:code,parameter,,1,803
analyzeCode:lineOffset,parameter,,1,803
collectDeclNames:pattern,parameter,,1,848
analyzeFunction:funcNode,parameter,,1,859
analyzeFunction:globals,parameter,,1,859
tokenizeName:name,parameter,,1,973
clusterFunctions:analysis,parameter,,1,981
nameClusters:analysis,parameter,,1,1051
nameClusters:clusters,parameter,,1,1051
computeAffinities:analysis,parameter,,1,1095
computeAffinities:clusters,parameter,,1,1095
computeAffinities:clusterNames,parameter,,1,1095
edgeOpacity:l,parameter,,1,1421
edgeOpacity:nodeDegree,parameter,,1,1421
buildGraph:analysis,parameter,,1,1462
buildGraph:clusters,parameter,,1,1462
buildGraph:clusterNames,parameter,,1,1462
buildGraph:affinities,parameter,,1,1462
buildGraph:opts,parameter,,1,1462
computeLayout:nodes,parameter,,1,1640
computeLayout:links,parameter,,1,1640
layoutClusterInternal:members,parameter,,1,1711
layoutClusterInternal:allLinks,parameter,,1,1711
layoutClusterInternal:nodeMap,parameter,,1,1711
packClusters:clusterBounds,parameter,,1,1817
packClusters:links,parameter,,1,1817
packClusters:nodeMap,parameter,,1,1817
packClusters:clusterGroups,parameter,,1,1817
warmRestart:nodes,parameter,,1,1903
warmRestart:links,parameter,,1,1903
animateToPositions:targetPositions,parameter,,1,2339
expandHull:hull,parameter,,1,2409
expandHull:pad,parameter,,1,2409
edgeMidOpacity:dist,parameter,,1,2521
setupNodeCircle:sel,parameter,,1,2613
renderGraph:graph,parameter,,1,2804
renderGraph:analysis,parameter,,1,2804
renderGraph:clusters,parameter,,1,2804
renderGraph:clusterNames,parameter,,1,2804
hullPerimeter:pts,parameter,,1,3058
buildRepeatedLabel:name,parameter,,1,3067
buildRepeatedLabel:perimeter,parameter,,1,3067
buildRepeatedLabel:fontSize,parameter,,1,3067
clusterLabelDrag:getMembersFn,parameter,,1,3247
getClusterImportance:cid,parameter,,1,3345
restoreClusterImportance:snapshot,parameter,,1,3349
lerpClusterImportance:fromSnap,parameter,,1,3419
lerpClusterImportance:toSnap,parameter,,1,3419
lerpClusterImportance:t,parameter,,1,3419
reduceClusterImportance:cid,parameter,,1,3443
growClusterImportance:cid,parameter,,1,3451
applyClusterImportance:cid,parameter,,1,3502
estimateLabelBBox:text,parameter,,1,3567
estimateLabelBBox:fontSize,parameter,,1,3567
clusterCentroid:cid,parameter,,1,3735
bfsDistances:startId,parameter,,1,3866
bfsDistances:adjacency,parameter,,1,3866
bfsDistances:maxDepth,parameter,,1,3866
highlightNeighbors:d,parameter,,1,3884
highlightNeighbors:graph,parameter,,1,3884
affinityBarsHTML:d,parameter,,1,3887
affinityBarsHTML:clusterNames,parameter,,1,3887
structBarsHTML:d,parameter,,1,3902
structBarsHTML:clusterNames,parameter,,1,3902
applyContextualEdgeWeights:focusId,parameter,,1,3917
selectNode:d,parameter,,1,3957
selectNode:analysis,parameter,,1,3957
startAttractor:d,parameter,,1,4014
clickPull:d,parameter,,1,4126
startXForces:singleNode,parameter,,1,4295
isNodeOnScreen:n,parameter,,1,4476
getTraceNeighbors:nodeId,parameter,,1,4483
getTraceNeighbors:mode,parameter,,1,4483
startTrace:mode,parameter,,1,4531
startTrace:flash,parameter,,1,4531
resumeTrace:mode,parameter,,1,4697
repulseFromPoint:svgX,parameter,,1,4735
repulseFromPoint:svgY,parameter,,1,4735
dismissNodeToT0:d,parameter,,1,4784
startNeighborGather:anchorNode,parameter,,1,4813
clusterBounds:cid,parameter,,1,4920
clusterIslands:cid,parameter,,1,4935
clusterIslands:nodeList,parameter,,1,4935
separateClusters:cidList,parameter,,1,4991
separateClusters:anchorCid,parameter,,1,4991
separateClusters:dt,parameter,,1,4991
separateClusters:islandCache,parameter,,1,4991
startClusterGather:anchorCid,parameter,,1,5035
startIntraClusterGather:anchorCid,parameter,,1,5192
startSpacePull:targetNode,parameter,,1,5255
parseCSVLine:line,parameter,,1,5746
parseNodesCSV:text,parameter,,1,5766
parseEdgesCSV:text,parameter,,1,5777
buildAnalysisFromCSV:nodes,parameter,,1,5788
buildAnalysisFromCSV:edges,parameter,,1,5788
connectStreamSSE:url,parameter,,1,5842
applyFocus:data,parameter,,1,6107
loadAndAnalyze:force,parameter,,1,6179
